iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
0,0.6591523895401262,0.3776901391423544,0.3943280133093416,0.6122036018544409,0.6591523895401262,0.6126760999891369,0.6591523895401262,0.7839195979899497,0.5693371824475667,0.513671875,0.21516112407178245,1791,1536,16.041372,17.509789,33.551163,0,0,0,0,0,0,0,0,0
1,0.6582506762849414,0.38312109822694407,0.39559193678376064,0.611163170954591,0.6582506762849414,0.6117738724704357,0.6582506762849414,0.7887017925040739,0.5737285844217637,0.49663526244952894,0.2131472589619087,1841,1486,16.034899,15.33309,31.367989,0,0,0,0,0,0,0,0,0
2,0.6633603847309889,0.3857164755798446,0.40013765443593996,0.6172965325161542,0.6633603847309889,0.6179564074449427,0.6633603847309889,0.7810972297664313,0.5607190166027587,0.5174966352624495,0.22158992801571864,1841,1486,16.159115,14.093676,30.25279,0,0,0,0,0,0,0,0,0
3,0.6552449654343252,0.3735269590405691,0.38913815821936487,0.6091155814185804,0.6552449654343252,0.609810548340641,0.6552449654343252,0.7861736334405145,0.5736867893490105,0.48802190280629704,0.1972858569393634,1866,1461,16.328049,11.957638,28.285686,0,0,0,0,0,0,0,0,0
4,0.6555455365193869,0.3769571569330664,0.3909443644824347,0.6103645898924267,0.6555455365193869,0.6114878684880874,0.6555455365193869,0.7834941050375134,0.5675886354105787,0.4921286789869952,0.20376959557639446,1866,1461,16.482185,10.913489,27.395676,0,0,0,0,0,0,0,0,0
5,0.6609558160504959,0.3807120685116562,0.3968173940546116,0.6161065971924674,0.6609558160504959,0.6172031165468255,0.6609558160504959,0.782422293676313,0.5652997628136412,0.5058179329226558,0.21075060217994862,1866,1461,16.619112,9.712179,26.331291,0,0,0,0,0,0,0,0,0
6,0.6633603847309889,0.38526604983181734,0.40197075170272756,0.6187159625982793,0.6633603847309889,0.6199202027042948,0.6633603847309889,0.7781780751415337,0.56487196555583,0.5021676300578035,0.2046942229769635,1943,1384,16.798666,8.449307,25.247974,0,0,0,0,0,0,0,0,0
7,0.658551247370003,0.38330596905324715,0.39675857652859026,0.6136203941705157,0.658551247370003,0.6144486319335635,0.658551247370003,0.7704580545548122,0.5526174659763529,0.5014450867052023,0.21076593218349718,1943,1384,16.955269,7.931322,24.886591,0,0,0,0,0,0,0,0,0
8,0.6642620979861737,0.3862821083704353,0.40300791646490375,0.6200821733199015,0.6642620979861737,0.6208369299294926,0.6642620979861737,0.7698056801195815,0.5467865308256031,0.5037878787878788,0.21014751846898308,2007,1320,17.148487,6.9775696,24.126057,0,0,0,0,0,0,0,0,0
9,0.6612563871355576,0.38363748242987455,0.40096165610252804,0.6150730805873629,0.6612563871355576,0.6163451264202472,0.6612563871355576,0.7841975308641975,0.5684464986440995,0.4700460829493088,0.185283301232207,2025,1302,17.269323,6.4146366,23.68396,0,0,0,0,0,0,0,0,0
10,0.6690712353471596,0.3952284162896771,0.4125153905556939,0.6234741851064675,0.6690712353471596,0.6248733391483382,0.6690712353471596,0.7798434442270059,0.5603638771436863,0.49259547934528447,0.21005066880623455,2044,1283,17.404902,6.0035715,23.408474,0,0,0,0,0,0,0,0,0
11,0.6642620979861737,0.38522631146382336,0.40486674944984824,0.6188975641031745,0.6642620979861737,0.6197014131630285,0.6642620979861737,0.7757459095283927,0.553684682083327,0.4787830264211369,0.18756750547847906,2078,1249,17.520555,5.7048836,23.22544,0,0,0,0,0,0,0,0,0
