iter,acc,delta_fr,delta_fr_new
4,0.6639615269011121,0.92476,0.92179
9,0.6573489630297565,0.92018,0.92348
14,0.65614667868951,0.91824,0.8976
19,0.6597535317102494,0.90022,0.88786
24,0.6609558160504959,0.89193,0.8493
29,0.6648632401562969,0.87207,0.86797
34,0.6588518184550646,0.86086,0.82585
39,0.658551247370003,0.84802,0.80358
44,0.6594529606251879,0.83087,0.75457
49,0.6621581003907424,0.78525,0.73842
54,0.6642620979861737,0.75648,0.72742
59,0.6657649534114818,0.75636,0.72517
64,0.6624586714758041,0.71986,0.70137
69,0.6648632401562969,0.712,0.68894
74,0.6648632401562969,0.71405,0.69542
79,0.671175232942591,0.69004,0.69326
84,0.6765855124737,0.67347,0.70361
89,0.6669672377517283,0.66946,0.69583
94,0.6768860835587617,0.66353,0.72146
99,0.6756837992185152,0.65861,0.69233
104,0.6753832281334535,0.66659,0.7247
109,0.6753832281334535,0.67357,0.7315
114,0.6768860835587617,0.6741,0.71714
119,0.6744815148782687,0.67108,0.72016
124,0.6786895100691314,0.68645,0.73378
129,0.6777877968139465,0.69623,0.75478
134,0.6807935076645627,0.70661,0.75835
139,0.6798917944093779,0.71087,0.7311
144,0.6771866546438232,0.71848,0.73015
149,0.6759843703035768,0.69978,0.72827
154,0.6810940787496242,0.68872,0.71028
159,0.6795912233243162,0.69501,0.73595
164,0.6741809437932071,0.69661,0.72018
169,0.6765855124737,0.68054,0.72186
174,0.6747820859633303,0.68447,0.70938
179,0.6801923654944394,0.67237,0.71691
184,0.6771866546438232,0.69376,0.71024
189,0.6783889389840697,0.66812,0.70519
194,0.678990081154193,0.69612,0.70415
199,0.6798917944093779,0.68518,0.70448
204,0.678990081154193,0.71026,0.69865
209,0.6762849413886384,0.68221,0.71467
214,0.675082657048392,0.65873,0.6844
219,0.6807935076645627,0.65106,0.66022
224,0.6759843703035768,0.66245,0.70693
229,0.6816952209197475,0.67896,0.67971
234,0.6768860835587617,0.68651,0.68954
239,0.6771866546438232,0.65008,0.66326
244,0.6780883678990082,0.65484,0.66993
249,0.6762849413886384,0.66525,0.663
254,0.6723775172828373,0.65005,0.65385
259,0.6738803727081455,0.64216,0.64746
264,0.6777877968139465,0.66517,0.65392
