iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
0,0.696824224519941,0.47864451093908594,0.44214549378367685,0.6748143707318965,0.696824224519941,0.7410034867775315,0.696824224519941,0.884493670886076,0.8089636678881085,0.6396917148362236,0.3613216622668369,632,2076,11.714349,16.748272,28.46262,0,0,0,0,0,0,0,0,0
1,0.5860413589364845,0.36998980896623757,0.261012981299369,0.5496834397807403,0.5860413589364845,0.7230329281423912,0.5860413589364845,0.7579113924050633,0.692811143544753,0.5380539499036608,0.2469429128267455,632,2076,16.148981,22.827919,38.9769,0,0,0,0,0,0,0,0,0
2,0.6676514032496307,0.44425623697808375,0.39395209533688647,0.6524151454176236,0.6676514032496307,0.7113087792646899,0.6676514032496307,0.8829113924050633,0.804405255786562,0.6021194605009634,0.3168698417150968,632,2076,13.128152,11.013426,24.141579,0,0,0,0,0,0,0,0,0
3,0.6473412112259971,0.43107807311193425,0.37485922138731376,0.6327937864726338,0.6473412112259971,0.6847853964908573,0.6473412112259971,0.8734177215189873,0.7808963788452306,0.5785163776493256,0.3096093439092359,632,2076,14.940864,15.2044525,30.145317,0,0,0,0,0,0,0,0,0
4,0.6665435745937962,0.445023911927579,0.3986821893149344,0.6467992146454058,0.6665435745937962,0.6978014288763553,0.6665435745937962,0.879746835443038,0.7976450230051163,0.6016377649325626,0.323043778157048,632,2076,13.835744,10.647878,24.483622,0,0,0,0,0,0,0,0,0
5,0.6646971935007385,0.43444078256216634,0.3944235147937966,0.637956513761849,0.6646971935007385,0.7051744840439514,0.6646971935007385,0.884493670886076,0.8089636678881085,0.5977842003853564,0.306227752975328,632,2076,13.13886,7.458641,20.5975,0,0,0,0,0,0,0,0,0
6,0.6388478581979321,0.4092514998399895,0.33987411442327636,0.6079889170800377,0.6388478581979321,0.7148133594023715,0.6388478581979321,0.8623417721518988,0.7654744259248956,0.5708092485549133,0.27690501417777186,632,2076,13.703526,8.116669,21.820194,0,0,0,0,0,0,0,0,0
7,0.6122599704579025,0.3944503726564878,0.2950249827068286,0.5838513537627905,0.6122599704579025,0.7232617699578059,0.6122599704579025,0.8069620253164557,0.734749838061965,0.5529865125240848,0.26745575410726524,632,2076,14.170344,8.64501,22.815353,0,0,0,0,0,0,0,0,0
8,0.6148449039881831,0.3954927091706019,0.30100627005950836,0.5896494003966531,0.6148449039881831,0.7250797358810538,0.6148449039881831,0.814873417721519,0.732853867819312,0.5539499036608864,0.26317497183300204,632,2076,14.042566,7.7035694,21.746136,0,0,0,0,0,0,0,0,0
9,0.6469719350073855,0.42672806140633107,0.3541892478315492,0.6286354821212929,0.6469719350073855,0.7195035419764828,0.6469719350073855,0.8575949367088608,0.7688373623295398,0.5828516377649325,0.29896437727915776,632,2076,13.66904,6.4442406,20.113281,0,0,0,0,0,0,0,0,0
10,0.6702363367799113,0.44105870514379336,0.4007886434449619,0.6526762665493088,0.6702363367799113,0.7043953638944199,0.6702363367799113,0.8813291139240507,0.8046756404060661,0.6059730250481695,0.3168671301876247,632,2076,13.487152,5.4868374,18.97399,0,0,0,0,0,0,0,0,0
11,0.672082717872969,0.45218327764959154,0.4027646197790918,0.6618756976816437,0.672082717872969,0.6989817389278455,0.672082717872969,0.884493670886076,0.8089636678881085,0.6074181117533719,0.33040768901991885,632,2076,13.632156,5.430955,19.06311,0,0,0,0,0,0,0,0,0
