iter,acc,delta_fr,delta_fr_new
4,0.69903988183161,0.97637,0.99063
9,0.69903988183161,0.9756,0.99214
14,0.69903988183161,0.97638,0.99167
19,0.69903988183161,0.97633,0.99191
24,0.69903988183161,0.97628,0.9914
29,0.69903988183161,0.97581,0.99054
34,0.69903988183161,0.97613,0.9912
39,0.69903988183161,0.97658,0.99221
44,0.69903988183161,0.97562,0.99127
49,0.69903988183161,0.97618,0.99247
54,0.5853028064992615,0.89314,0.95433
59,0.5853028064992615,0.89467,0.96293
64,0.5853028064992615,0.89234,0.95408
69,0.5853028064992615,0.8901,0.96072
74,0.5853028064992615,0.89377,0.96969
79,0.5853028064992615,0.89466,0.96188
84,0.5853028064992615,0.88983,0.95721
89,0.5853028064992615,0.89163,0.95743
94,0.5853028064992615,0.89339,0.95956
99,0.5853028064992615,0.89076,0.95798
104,0.6717134416543574,0.96057,0.99037
109,0.6717134416543574,0.96271,0.99104
114,0.6717134416543574,0.96149,0.99206
119,0.6717134416543574,0.96281,0.98835
124,0.6717134416543574,0.96219,0.98905
129,0.6717134416543574,0.96055,0.98911
134,0.6717134416543574,0.9623,0.98875
139,0.6717134416543574,0.96188,0.9862
144,0.6717134416543574,0.9617,0.98717
149,0.6717134416543574,0.96128,0.99121
154,0.6480797636632201,0.94058,0.97799
159,0.6480797636632201,0.94053,0.98401
164,0.6480797636632201,0.94174,0.98384
169,0.6480797636632201,0.94271,0.98059
174,0.6480797636632201,0.93966,0.98261
179,0.6480797636632201,0.93868,0.98103
184,0.6480797636632201,0.94021,0.98273
189,0.6480797636632201,0.93963,0.98254
194,0.6480797636632201,0.94008,0.98035
199,0.6480797636632201,0.94104,0.9756
204,0.6610044313146234,0.87959,0.95683
209,0.6610044313146234,0.87744,0.95571
214,0.6610044313146234,0.88085,0.96186
219,0.6610044313146234,0.88184,0.95664
224,0.6610044313146234,0.87511,0.96435
229,0.6610044313146234,0.87645,0.95984
234,0.6610044313146234,0.87775,0.96003
239,0.6610044313146234,0.87798,0.95134
244,0.6610044313146234,0.8776,0.96527
249,0.6610044313146234,0.87807,0.95256
254,0.6680206794682423,0.9323,0.95892
259,0.6680206794682423,0.93247,0.9566
264,0.6680206794682423,0.93314,0.96703
269,0.6680206794682423,0.93421,0.95982
274,0.6680206794682423,0.93156,0.9731
279,0.6680206794682423,0.93091,0.97375
284,0.6680206794682423,0.93371,0.96858
289,0.6680206794682423,0.93338,0.96693
294,0.6680206794682423,0.9333,0.97235
299,0.6680206794682423,0.93447,0.97615
304,0.645864106351551,0.94808,0.97399
309,0.645864106351551,0.9482,0.98706
314,0.645864106351551,0.9472,0.98321
319,0.645864106351551,0.9469,0.97145
