iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
0,0.6362022620074048,0.20246268173350432,0.2006072716976073,0.6316834458705293,0.6362022620074048,0.6412049544137766,0.6362022620074048,0.7660436544242583,0.3990538593315691,0.5538703795789822,0.1051938444886298,7651,12066,96.18973,14.577598,110.76733,0,0,0,0,0,0,0,0,0
1,0.6191611299893492,0.19049509716117294,0.18167015590753047,0.6091005308917635,0.6191611299893492,0.6313005632921871,0.6191611299893492,0.7554568030322834,0.3790745396083876,0.5327366152826123,0.09891889907304999,7651,12066,98.94495,12.413475,111.35842,0,0,0,0,0,0,0,0,0
2,0.635187908911092,0.2053557153621175,0.20110224837494986,0.6289787571498403,0.635187908911092,0.6414988073329903,0.635187908911092,0.7610769834008626,0.3906751946193073,0.5553621747057849,0.1137044334210661,7651,12066,96.73495,10.997174,107.732124,0,0,0,0,0,0,0,0,0
3,0.6418319216919409,0.2106307278829668,0.21000173564678307,0.6371800260800583,0.6418319216919409,0.6450696375710704,0.6418319216919409,0.7635603189125605,0.39514659582349604,0.5646444554947787,0.11835070332752592,7651,12066,97.43215,10.347762,107.779915,0,0,0,0,0,0,0,0,0
4,0.6447735456712481,0.21454413727768218,0.21362869491292147,0.6396477555148464,0.6447735456712481,0.6500177230631264,0.6447735456712481,0.7643445301267808,0.3976196407061122,0.5689540858610973,0.12247445621827396,7651,12066,97.7278,9.330667,107.058464,0,0,0,0,0,0,0,0,0
5,0.6372673327585332,0.20920914164180848,0.20442321050398124,0.6303032633268866,0.6372673327585332,0.6446478279863563,0.6372673327585332,0.7696143617021277,0.39992354980698547,0.5255774805947816,0.09807084636608403,9024,10693,97.527176,8.58876,106.11594,0,0,0,0,0,0,0,0,0
6,0.6333620733377289,0.20734021171040257,0.20042652221552387,0.6253114800862766,0.6333620733377289,0.642462097157067,0.6333620733377289,0.7655141843971631,0.3927283760470776,0.5218367156083419,0.09985100638140634,9024,10693,97.82548,8.023532,105.84901,0,0,0,0,0,0,0,0,0
7,0.6313333671451032,0.20613724842089426,0.19983124370390126,0.6224229549285797,0.6313333671451032,0.6396514847615621,0.6313333671451032,0.765625,0.3931600510140075,0.5180024314972412,0.09920907096359977,9024,10693,98.345825,7.6171145,105.96294,0,0,0,0,0,0,0,0,0
8,0.6362529796622204,0.21246189069728533,0.2072242916984089,0.6278209736224537,0.6362529796622204,0.6430237075315416,0.6362529796622204,0.7679521276595744,0.3972947657103744,0.5251098849714767,0.1063467108978883,9024,10693,98.28066,7.3576818,105.63834,0,0,0,0,0,0,0,0,0
9,0.6385352741289243,0.21572264166690105,0.20942087753372468,0.6312477805241982,0.6385352741289243,0.6442200090598041,0.6385352741289243,0.7675088652482269,0.3969626471713851,0.5296923220798654,0.11049963681986635,9024,10693,97.7737,7.2081394,104.981834,0,0,0,0,0,0,0,0,0
10,0.6439113455393822,0.21919144088833542,0.2156055679753891,0.6374662915134591,0.6439113455393822,0.6487730711038743,0.6439113455393822,0.7754710954966464,0.42925909085765185,0.5242154203796978,0.09409564801440347,9393,10324,97.40482,6.9708447,104.37567,0,0,0,0,0,0,0,0,0
11,0.6479180402698179,0.22378690922542266,0.22124158739217326,0.6412143274044059,0.6479180402698179,0.6524887018586255,0.6479180402698179,0.7733418503140637,0.42317350414231086,0.5338047268500581,0.10210856645038106,9393,10324,97.37276,7.158342,104.5311,0,0,0,0,0,0,0,0,0
12,0.6517725820358067,0.22701179051329629,0.22546350452939948,0.6454854457503726,0.6517725820358067,0.6561384793072413,0.6517725820358067,0.7746193974236133,0.4272611077959757,0.5400038744672607,0.10422852892114674,9393,10324,97.24469,7.1520367,104.39673,0,0,0,0,0,0,0,0,0
13,0.6475630166861084,0.22336505376891352,0.22029231877353914,0.6412324202173307,0.6475630166861084,0.6521492373629011,0.6475630166861084,0.7745129351644842,0.4266061333848098,0.5320612165827199,0.09989134859178417,9393,10324,97.07662,7.0557203,104.13234,0,0,0,0,0,0,0,0,0
14,0.6494395699142872,0.22575351759500262,0.22329697129868462,0.642464792918285,0.6494395699142872,0.6538630342287456,0.6494395699142872,0.7745129351644842,0.42626199938529186,0.5356450987989152,0.10309866890256149,9393,10324,96.879555,6.917583,103.797134,0,0,0,0,0,0,0,0,0
15,0.6494395699142872,0.22611984556420806,0.22446674958263813,0.642566923783156,0.6494395699142872,0.6531092653746328,0.6494395699142872,0.7718794835007173,0.43476681805330547,0.5294708304046591,0.09484640707137758,9758,9959,96.8443,6.700005,103.544304,0,0,0,0,0,0,0,0,0
