iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
0,0.6793893129770993,0.4225581486124819,0.37468282488263494,0.678572249910474,0.6793893129770993,0.6982473544973545,0.6793893129770993,0.7948717948717948,0.7020291747567953,0.6304347826086957,0.3727101838758434,39,92,0.71072334,67.15762,67.86835,0,0,0,0,0,0,0,0,0
1,0.6946564885496184,0.4144189722017866,0.3690034275821268,0.6980424352099348,0.6946564885496184,0.7179047051140074,0.6946564885496184,0.8,0.6893770552260052,0.6483516483516484,0.3773360032954293,40,91,0.7097745,61.66149,62.371265,0,0,0,0,0,0,0,0,0
2,0.6641221374045801,0.4067113232125558,0.36527672644247544,0.6623052895902659,0.6641221374045801,0.6857232968881413,0.6641221374045801,0.775,0.6776317549902645,0.6153846153846154,0.36508678311565906,40,91,0.7078277,59.26124,59.969067,0,0,0,0,0,0,0,0,0
3,0.6793893129770993,0.4539180408519303,0.41193920193179556,0.6774077972956316,0.6793893129770993,0.6942532663948272,0.6793893129770993,0.8,0.6893770552260052,0.6263736263736264,0.40755032743540287,40,91,0.7082471,57.62513,58.333378,0,0,0,0,0,0,0,0,0
4,0.7099236641221374,0.4375190093661089,0.4054632102833944,0.7085901572969571,0.7099236641221375,0.7243890891524714,0.7099236641221374,0.775,0.6326574080104205,0.6813186813186813,0.4263755019500661,40,91,0.710351,63.430115,64.140465,0,0,0,0,0,0,0,0,0
5,0.7175572519083969,0.47616692788429055,0.43273967758847476,0.7153923038480761,0.7175572519083968,0.7332359623815641,0.7175572519083969,0.775,0.6776317549902645,0.6923076923076923,0.46568919111701496,40,91,0.7065947,58.488304,59.1949,0,0,0,0,0,0,0,0,0
6,0.7022900763358778,0.43624459219417355,0.3982685061650564,0.7031476057338126,0.7022900763358778,0.7225332352620681,0.7022900763358778,0.8,0.6893770552260052,0.6593406593406593,0.4060290307216747,40,91,0.7029084,65.960556,66.66347,0,0,0,0,0,0,0,0,0
7,0.6335877862595419,0.410824358391924,0.3650420062477551,0.6290077085481417,0.6335877862595419,0.6489516474112109,0.6335877862595419,0.7804878048780488,0.6528685450138417,0.5666666666666667,0.35538008773678725,41,90,0.70962393,48.5029,49.212524,0,0,0,0,0,0,0,0,0
8,0.6412213740458015,0.4215317858569302,0.3747925566253306,0.6362766391677154,0.6412213740458015,0.6633513929365437,0.6412213740458015,0.8048780487804879,0.6491837759174085,0.5666666666666667,0.3607936582334091,41,90,0.7084346,51.619946,52.32838,0,0,0,0,0,0,0,0,0
9,0.7022900763358778,0.4297402910916578,0.3964808929368122,0.7044808356156161,0.7022900763358778,0.7159188034188034,0.7022900763358778,0.8048780487804879,0.6491837759174085,0.6555555555555556,0.37766571846332336,41,90,0.70799595,55.834885,56.54288,0,0,0,0,0,0,0,0,0
