iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
0,0.5463659147869674,0.2841582475386351,0.22381834445177062,0.518571563272207,0.5463659147869674,0.5745206746450527,0.5463659147869674,0.5544871794871795,0.3021644465013247,0.5172413793103449,0.2134445742326756,312,87,2.6281376,50.512295,53.140434,0,0,0,0,0,0,0,0,0
1,0.5112781954887218,0.26919826631381505,0.20437858328131325,0.48402509348212297,0.5112781954887218,0.5218457025268153,0.5112781954887218,0.5250737463126843,0.2883108893793193,0.43333333333333335,0.15284805779030036,339,60,2.615789,50.184845,52.800632,0,0,0,0,0,0,0,0,0
2,0.5413533834586466,0.3048842815466456,0.24071233376978876,0.5193928040995553,0.5413533834586466,0.5528533954303002,0.5413533834586466,0.5368731563421829,0.31856114966587207,0.5666666666666667,0.25518070272275317,339,60,2.601184,50.564243,53.16543,0,0,0,0,0,0,0,0,0
3,0.5288220551378446,0.28213541899553624,0.2369944031885782,0.499950435850967,0.5288220551378446,0.5247293792359997,0.5288220551378446,0.5272206303724928,0.29058435929008336,0.54,0.2775353818594672,349,50,2.6123435,50.761223,53.373566,0,0,0,0,0,0,0,0,0
4,0.5288220551378446,0.27262664753580396,0.21975509121905365,0.5042375107248416,0.5288220551378446,0.532860341412973,0.5288220551378446,0.5243553008595988,0.28346610254193344,0.56,0.23102806040637505,349,50,2.6024277,49.673416,52.275845,0,0,0,0,0,0,0,0,0
5,0.543859649122807,0.32012241237667416,0.272537051428677,0.5101432141833163,0.543859649122807,0.5222538133555082,0.543859649122807,0.5472779369627507,0.31530992979454736,0.52,0.3592687558314939,349,50,2.5960715,50.705196,53.30127,0,0,0,0,0,0,0,0,0
6,0.518796992481203,0.2877336705698427,0.2294420220980461,0.49507112873223114,0.518796992481203,0.5159531095691045,0.518796992481203,0.5300859598853869,0.29749741532614005,0.54,0.25713896493385424,349,50,2.6547196,50.539146,53.193867,0,0,0,0,0,0,0,0,0
7,0.5238095238095238,0.28845652982456976,0.23350774286851864,0.4861638482924311,0.5238095238095238,0.5138605741803416,0.5238095238095238,0.5329512893982808,0.2977225334168394,0.46,0.23540289113249352,349,50,2.5869703,50.16851,52.75548,0,0,0,0,0,0,0,0,0
8,0.5263157894736842,0.30040853481453406,0.23332065358904344,0.49794339211680594,0.5263157894736842,0.5379896381753801,0.5263157894736842,0.5300859598853869,0.31618638198929866,0.5,0.22710898685644307,349,50,2.6409187,51.201576,53.842495,0,0,0,0,0,0,0,0,0
9,0.49874686716791977,0.2703018368380853,0.20967058662440463,0.4790463401466538,0.49874686716791977,0.4975171044785488,0.49874686716791977,0.49570200573065903,0.2712077375753614,0.52,0.23869044192034758,349,50,2.5970206,49.86707,52.46409,0,0,0,0,0,0,0,0,0
10,0.5213032581453634,0.2970987294444832,0.22794108017593195,0.4993521524771525,0.5213032581453634,0.5307478882391163,0.5213032581453634,0.5272206303724928,0.3076627125932328,0.48,0.2078946161714484,349,50,2.5796313,50.152348,52.73198,0,0,0,0,0,0,0,0,0
11,0.5288220551378446,0.27189676159923865,0.21641827344964573,0.5106371283851233,0.5288220551378446,0.5445296890609391,0.5288220551378446,0.5358166189111748,0.27243074153871627,0.52,0.2861779601219267,349,50,2.5959158,49.77764,52.373558,0,0,0,0,0,0,0,0,0
