iter,acc,nmi,ari,f1_macro,f1_micro,precision_macro,precision_micro,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss_recons,loss_clus,loss,nb_l,nb_f_l,nb_t_l,nb_added_link_unconf_unconf,nb_false_added_link_unconf_unconf,nb_true_added_link_unconf_unconf,nb_deleted_link_unconf_unconf,nb_false_deleted_link_unconf_unconf,nb_true_deleted_link_unconf_unconf
0,0.46638655462184875,0.21431977718634238,0.14538180547863114,0.46700580562612015,0.4663865546218488,0.541507153581527,0.46638655462184875,0.6935483870967742,0.47027709397813444,0.4267515923566879,0.1394530099661137,248,942,6.0029044,74.25305,80.25596,0,0,0,0,0,0,0,0,0
1,0.47058823529411764,0.21853064044873383,0.14809296349361759,0.47186381350321743,0.47058823529411764,0.5418272480692405,0.47058823529411764,0.6854838709677419,0.47465476411863106,0.4299363057324841,0.13816199475639312,248,942,5.9829273,64.905594,70.88852,0,0,0,0,0,0,0,0,0
2,0.4689075630252101,0.22241187051225103,0.14997107590300648,0.47157273747111417,0.4689075630252101,0.5431770627696106,0.4689075630252101,0.696,0.5573731861447794,0.4223404255319149,0.12894409744107926,250,940,5.9681315,61.47992,67.44805,0,0,0,0,0,0,0,0,0
3,0.4672268907563025,0.21215491938155095,0.144330627580711,0.4691103804593766,0.4672268907563025,0.5402450238104912,0.4672268907563025,0.684,0.537578696186192,0.42340425531914894,0.1182356473096022,250,940,5.9884696,57.534798,63.523266,0,0,0,0,0,0,0,0,0
4,0.4722689075630252,0.22740483727327368,0.15475956966588172,0.47409774926203085,0.4722689075630252,0.5455578954262009,0.4722689075630252,0.684,0.5430746637817364,0.4276595744680851,0.1352981453074728,250,940,5.9773183,53.73922,59.716537,0,0,0,0,0,0,0,0,0
5,0.4789915966386555,0.2236618064493806,0.15399042441738664,0.4781037590491529,0.4789915966386555,0.547598249875436,0.4789915966386555,0.676,0.5410269669830279,0.43617021276595747,0.1364249779917416,250,940,5.972176,52.941902,58.914078,0,0,0,0,0,0,0,0,0
6,0.48487394957983193,0.22740620593655145,0.15828198793161583,0.48395431516322107,0.48487394957983193,0.5527393029497025,0.48487394957983193,0.688,0.5418250696541288,0.44042553191489364,0.13915959781901283,250,940,5.9742446,50.09613,56.070374,0,0,0,0,0,0,0,0,0
7,0.4672268907563025,0.20806526249811366,0.13900225451136247,0.47057646123563723,0.4672268907563025,0.5409217653523016,0.4672268907563025,0.6812749003984063,0.5014790330690513,0.422790202342918,0.10703232195789511,251,939,5.968391,44.731445,50.699837,0,0,0,0,0,0,0,0,0
8,0.4714285714285714,0.21728858666984968,0.14547488155585964,0.471356549990242,0.4714285714285714,0.5421163501093802,0.4714285714285714,0.6812749003984063,0.49853326251949365,0.43024494142705005,0.11968532758208358,251,939,5.971742,41.18194,47.15368,0,0,0,0,0,0,0,0,0
9,0.473109243697479,0.21956712688708907,0.14870707236001035,0.47585094172242515,0.473109243697479,0.5448127715443722,0.473109243697479,0.6733067729083665,0.49827152530576974,0.4281150159744409,0.12091427611482028,251,939,5.967949,38.022182,43.99013,0,0,0,0,0,0,0,0,0
10,0.48487394957983193,0.21976265956720223,0.1539705232468535,0.4854915164005391,0.48487394957983193,0.553238714349015,0.48487394957983193,0.6901960784313725,0.46255541995378124,0.44919786096256686,0.13178487220155377,255,935,5.9556823,36.593964,42.549644,0,0,0,0,0,0,0,0,0
11,0.47478991596638653,0.21160105348890912,0.14355237385032857,0.47586685337409657,0.47478991596638653,0.5455716127540342,0.47478991596638653,0.6823529411764706,0.44757588726661374,0.43636363636363634,0.11885572766476579,255,935,5.9466133,36.439625,42.38624,0,0,0,0,0,0,0,0,0
12,0.47983193277310926,0.20726618720332907,0.14297104844365502,0.48006149936906195,0.47983193277310926,0.5497069290841557,0.47983193277310926,0.6784313725490196,0.44863737695165645,0.44278074866310163,0.11391858815208905,255,935,5.9413247,32.40407,38.345398,0,0,0,0,0,0,0,0,0
13,0.4714285714285714,0.20892232030326463,0.14473043139208236,0.4714267758985774,0.4714285714285714,0.5382990016763914,0.4714285714285714,0.6745098039215687,0.45042665222515754,0.4320855614973262,0.11844947666188256,255,935,5.948564,31.79802,37.746582,0,0,0,0,0,0,0,0,0
14,0.4781512605042017,0.21524649152328804,0.148336602603602,0.47873354577601146,0.4781512605042017,0.548337434823505,0.4781512605042017,0.6823529411764706,0.4476824782885234,0.44278074866310163,0.12884928933534603,255,935,5.95047,30.868195,36.818665,0,0,0,0,0,0,0,0,0
15,0.4672268907563025,0.22030194039999637,0.14621048829020591,0.4695372409329909,0.4672268907563025,0.5413379674373706,0.4672268907563025,0.688715953307393,0.48082503281729466,0.42979635584137194,0.12212904294061697,257,933,5.9574184,31.44938,37.4068,0,0,0,0,0,0,0,0,0
16,0.4773109243697479,0.22140106644566548,0.15214156341482102,0.4781615235911859,0.4773109243697479,0.5484651406618319,0.4773109243697479,0.6731517509727627,0.47664988207534703,0.43837084673097537,0.1276902310826215,257,933,5.949814,30.18767,36.13748,0,0,0,0,0,0,0,0,0
17,0.4823529411764706,0.22632866433490856,0.1583523458905117,0.4823265132992709,0.4823529411764706,0.5508268580768948,0.4823529411764706,0.6692015209125475,0.459387083160032,0.4487594390507012,0.1338939967092956,263,927,5.9473658,28.631304,34.57867,0,0,0,0,0,0,0,0,0
18,0.4890756302521008,0.22276032857054004,0.1565922449705599,0.48831619445284324,0.4890756302521008,0.558895813637193,0.4890756302521008,0.6615969581749049,0.4503864146496493,0.4552319309600863,0.127708223305303,263,927,5.9293456,29.144573,35.073917,0,0,0,0,0,0,0,0,0
19,0.48739495798319327,0.22515871093757966,0.15793396369834856,0.48647149027371817,0.48739495798319327,0.5580005376026473,0.48739495798319327,0.6692015209125475,0.45954322387238855,0.4552319309600863,0.1318833332832362,263,927,5.9305997,27.980442,33.91104,0,0,0,0,0,0,0,0,0
20,0.4781512605042017,0.22142734060194683,0.15082108999883378,0.4812969774664315,0.4781512605042017,0.5519339620913679,0.4781512605042017,0.6577946768060836,0.45463547826611217,0.44228694714131606,0.12291582421522848,263,927,5.9266353,27.504772,33.431408,0,0,0,0,0,0,0,0,0
21,0.4899159663865546,0.22689762516797082,0.1572279629438426,0.49145884335355594,0.48991596638655455,0.5611306609520343,0.4899159663865546,0.6064516129032258,0.3883040084570082,0.4681818181818182,0.13005384152491276,310,880,5.939842,26.115387,32.05523,0,0,0,0,0,0,0,0,0
22,0.4764705882352941,0.22462624443693766,0.15385818102182436,0.47866533126243915,0.4764705882352941,0.5478036896495618,0.4764705882352941,0.5774193548387097,0.3799964256151092,0.45340909090909093,0.12462033312149566,310,880,5.906538,29.160126,35.066666,0,0,0,0,0,0,0,0,0
23,0.4773109243697479,0.22528794293414794,0.15182357333068716,0.48119512301068873,0.4773109243697479,0.5520058433322041,0.4773109243697479,0.5942492012779552,0.414951894411894,0.45153933865450396,0.12320821227762219,313,877,5.9065237,23.952034,29.858559,0,0,0,0,0,0,0,0,0
24,0.4823529411764706,0.22174247156641597,0.15425363331704783,0.48361039736062084,0.4823529411764706,0.5544544895608725,0.4823529411764706,0.5848484848484848,0.39058338241155177,0.4686046511627907,0.12704449324201048,330,860,5.9148555,24.007946,29.922802,0,0,0,0,0,0,0,0,0
25,0.4789915966386555,0.22334082506307903,0.15363884825623766,0.4792435977111071,0.4789915966386555,0.5519311476787296,0.4789915966386555,0.5696969696969697,0.3811498613767826,0.4558139534883721,0.12023777760350561,330,860,5.905171,26.409683,32.314854,0,0,0,0,0,0,0,0,0
26,0.4865546218487395,0.2252882876900455,0.15488115968338342,0.48732476852596335,0.4865546218487395,0.5612821756477792,0.4865546218487395,0.5727272727272728,0.38297890636157633,0.46744186046511627,0.12215754735576233,330,860,5.914626,24.576975,30.4916,0,0,0,0,0,0,0,0,0
27,0.48403361344537815,0.22647924750144463,0.1552589661478468,0.48603451972909856,0.48403361344537815,0.55910777043861,0.48403361344537815,0.5666666666666667,0.39870586268734687,0.4627906976744186,0.12041474303928006,330,860,5.9090433,25.879032,31.788074,0,0,0,0,0,0,0,0,0
28,0.4672268907563025,0.2198893308052609,0.14665047788106725,0.4704700854881708,0.4672268907563025,0.5426690670480736,0.4672268907563025,0.5727272727272728,0.38458145148592254,0.44302325581395346,0.11080041363014266,330,860,5.922186,24.10697,30.029156,0,0,0,0,0,0,0,0,0
29,0.48067226890756304,0.22195452477882122,0.15071907666380208,0.48465422036365446,0.48067226890756304,0.5559106449252664,0.48067226890756304,0.5636363636363636,0.38874259867988664,0.45930232558139533,0.11574451055229204,330,860,5.903068,23.20738,29.110449,0,0,0,0,0,0,0,0,0
30,0.46974789915966386,0.2126209936998817,0.14317633986091752,0.4741449621853926,0.46974789915966386,0.5455961060496126,0.46974789915966386,0.5545454545454546,0.38828204751451717,0.44534883720930235,0.10405904600355068,330,860,5.90822,22.88913,28.79735,0,0,0,0,0,0,0,0,0
31,0.4815126050420168,0.21724224269466982,0.14627932120429044,0.4859963972250055,0.4815126050420168,0.5579673274082275,0.4815126050420168,0.5696969696969697,0.3820128338463534,0.4627906976744186,0.11184238312943912,330,860,5.922445,22.899038,28.821484,0,0,0,0,0,0,0,0,0
32,0.4899159663865546,0.2230823514882217,0.15392165787738488,0.4920621933888795,0.48991596638655455,0.5655148805020302,0.4899159663865546,0.5666666666666667,0.38364229942807304,0.4720930232558139,0.12104071806448786,330,860,5.9247956,23.323662,29.248457,0,0,0,0,0,0,0,0,0
33,0.48739495798319327,0.22541771957226034,0.15330610031807856,0.4916673750786006,0.48739495798319327,0.5648147659435061,0.48739495798319327,0.5636363636363636,0.3810784539272452,0.4720930232558139,0.12345194270827145,330,860,5.8999853,21.421577,27.321564,0,0,0,0,0,0,0,0,0
34,0.4823529411764706,0.22088733433222288,0.14980938652590295,0.4860983627584513,0.4823529411764706,0.558243378077594,0.4823529411764706,0.5636363636363636,0.39099486055647253,0.4627906976744186,0.11450881209771475,330,860,5.9043307,21.814762,27.719093,0,0,0,0,0,0,0,0,0
35,0.48067226890756304,0.22044185581245457,0.1499382655420888,0.4854794338753725,0.48067226890756304,0.5548787869229507,0.48067226890756304,0.525679758308157,0.3557880163778156,0.470314318975553,0.12447075737348297,331,859,5.910297,18.571987,24.482285,0,0,0,0,0,0,0,0,0
36,0.4890756302521008,0.2243037086454756,0.15524337523539838,0.4917635335663679,0.4890756302521008,0.5639310370405446,0.4890756302521008,0.525679758308157,0.3353368247881445,0.48661233993015135,0.1368693098671127,331,859,5.897956,19.74191,25.639866,0,0,0,0,0,0,0,0,0
37,0.46974789915966386,0.22402440088296235,0.1514966839185576,0.4710341762483542,0.46974789915966386,0.5446327312595421,0.46974789915966386,0.5347432024169184,0.3340308935427142,0.46449359720605354,0.12991184306453443,331,859,5.9004087,19.922537,25.822945,0,0,0,0,0,0,0,0,0
38,0.48067226890756304,0.22354464224853415,0.1503656259812495,0.4836258924856146,0.48067226890756304,0.5576851428739448,0.48067226890756304,0.5347432024169184,0.3462423588551173,0.47380675203725264,0.13012729081533006,331,859,5.9142404,20.595295,26.509535,0,0,0,0,0,0,0,0,0
39,0.4831932773109244,0.23089849484515132,0.1591234305197247,0.48565948284861354,0.4831932773109244,0.557675415108922,0.4831932773109244,0.5400593471810089,0.36870907756724247,0.4771395076201641,0.1375356527140197,337,853,5.9019413,17.127888,23.029829,0,0,0,0,0,0,0,0,0
40,0.4831932773109244,0.22424900356769106,0.15167599447420918,0.48770312520695225,0.4831932773109244,0.5586315032028187,0.4831932773109244,0.5341246290801187,0.36395028382218175,0.4712778429073857,0.12416866785282563,337,853,5.91582,20.00688,25.922699,0,0,0,0,0,0,0,0,0
41,0.4899159663865546,0.22372155543474995,0.15317796205140574,0.49378588548119284,0.48991596638655455,0.5661000040180485,0.4899159663865546,0.5087281795511222,0.32184859052633863,0.4803548795944233,0.13232003599435652,401,789,5.90514,19.960402,25.865541,0,0,0,0,0,0,0,0,0
42,0.4890756302521008,0.22847056958105505,0.15611096787037396,0.492754573995347,0.4890756302521008,0.5673812853668199,0.4890756302521008,0.49514563106796117,0.33078635192371014,0.48586118251928023,0.13743984294333972,412,778,5.9084325,19.295313,25.203745,0,0,0,0,0,0,0,0,0
43,0.4823529411764706,0.22178408020735102,0.14741656465361008,0.4881445877208749,0.4823529411764706,0.5628616647260005,0.4823529411764706,0.49523809523809526,0.33301916344002386,0.4753246753246753,0.11939058558132751,420,770,5.9041114,18.451725,24.355837,0,0,0,0,0,0,0,0,0
44,0.48487394957983193,0.2250298738017526,0.1519132047090862,0.4895921199310957,0.48487394957983193,0.5630144567757009,0.48487394957983193,0.4928571428571429,0.31068900515458847,0.4844155844155844,0.13455345737697835,420,770,5.9170737,23.518314,29.435389,0,0,0,0,0,0,0,0,0
45,0.47983193277310926,0.21440949664636064,0.143222006923759,0.4852611136031062,0.47983193277310926,0.5581748600628277,0.47983193277310926,0.4894613583138173,0.3236508631093743,0.47706422018348627,0.11715374984999348,427,763,5.9064794,18.503502,24.40998,0,0,0,0,0,0,0,0,0
46,0.49159663865546216,0.22699515049224728,0.15526052341203317,0.49596341522551807,0.49159663865546216,0.5684781484292094,0.49159663865546216,0.4815668202764977,0.30064480730297005,0.4973544973544973,0.13822464427008765,434,756,5.9104896,18.490713,24.401203,0,0,0,0,0,0,0,0,0
47,0.4890756302521008,0.2313478982623919,0.15818184468149227,0.4944240281162274,0.4890756302521008,0.565451119200306,0.4890756302521008,0.4608294930875576,0.2921278375160691,0.5052910052910053,0.15193703826682103,434,756,5.914509,21.941887,27.856396,0,0,0,0,0,0,0,0,0
48,0.4756302521008403,0.21244222345654093,0.139682288664418,0.4822067349066944,0.4756302521008403,0.5545069167940162,0.4756302521008403,0.46774193548387094,0.28561301666155786,0.48544973544973546,0.1250020361099664,434,756,5.8988442,21.348612,27.247456,0,0,0,0,0,0,0,0,0
49,0.48067226890756304,0.22142893042738834,0.14998642946035465,0.4848285460478047,0.48067226890756304,0.5580492532306979,0.48067226890756304,0.4792626728110599,0.3055862668156653,0.48148148148148145,0.12486806820444617,434,756,5.9067864,21.183613,27.090399,0,0,0,0,0,0,0,0,0
50,0.4857142857142857,0.22624357680426094,0.15394818882376549,0.4899439808792777,0.4857142857142857,0.5602272129413647,0.4857142857142857,0.48735632183908045,0.32242300471115537,0.4847682119205298,0.12894520226294628,435,755,5.908948,18.355051,24.264,0,0,0,0,0,0,0,0,0
51,0.49495798319327733,0.2305236030368694,0.1592974958864896,0.49927698069083415,0.49495798319327733,0.5705232608751608,0.49495798319327733,0.4896551724137931,0.3079227283631637,0.5006622516556292,0.13924186961669954,435,755,5.9040613,21.724524,27.628586,0,0,0,0,0,0,0,0,0
52,0.49327731092436977,0.22831026567809476,0.1556092098377873,0.4986855682328514,0.49327731092436977,0.5711308043716108,0.49327731092436977,0.4896551724137931,0.3105378361305167,0.495364238410596,0.13393897109688913,435,755,5.890135,20.800587,26.690722,0,0,0,0,0,0,0,0,0
53,0.47983193277310926,0.22663559883473353,0.15107316880026264,0.4855956665562189,0.47983193277310926,0.5560445552662531,0.47983193277310926,0.48735632183908045,0.31617491187821023,0.47549668874172185,0.12839041039339968,435,755,5.9056096,20.24049,26.1461,0,0,0,0,0,0,0,0,0
54,0.48739495798319327,0.22467525004798106,0.15250679796395106,0.4931867097544209,0.48739495798319327,0.5648610280208718,0.48739495798319327,0.49195402298850577,0.3228992889427514,0.4847682119205298,0.12052068915085672,435,755,5.898645,20.763409,26.662054,0,0,0,0,0,0,0,0,0
55,0.48403361344537815,0.22418428608973043,0.1500070759686843,0.4906262090104822,0.48403361344537815,0.5606365977781915,0.48403361344537815,0.482837528604119,0.3177896578373483,0.4913678618857902,0.13420570897041376,437,753,5.8868685,17.678614,23.565483,0,0,0,0,0,0,0,0,0
56,0.4865546218487395,0.22180820832027215,0.15251361184049325,0.49266514599837086,0.4865546218487395,0.5606859607457376,0.4865546218487395,0.482837528604119,0.31631321026456083,0.49667994687915007,0.13503896096260984,437,753,5.901902,19.584486,25.48639,0,0,0,0,0,0,0,0,0
57,0.48823529411764705,0.23038258646442727,0.15708971293605845,0.4930436336266096,0.48823529411764705,0.5648735036924287,0.48823529411764705,0.4691075514874142,0.3082162539402254,0.50066401062417,0.14918309155077253,437,753,5.897105,19.776676,25.673782,0,0,0,0,0,0,0,0,0
58,0.48403361344537815,0.21871692820801666,0.14575054143761704,0.49132541615308944,0.48403361344537815,0.5641311347308672,0.48403361344537815,0.482837528604119,0.3158675517048183,0.4847277556440903,0.12428589433242036,437,753,5.8941727,20.490482,26.384655,0,0,0,0,0,0,0,0,0
59,0.48739495798319327,0.21358019253850774,0.14720122507554287,0.49229592596605976,0.48739495798319327,0.5617487560672683,0.48739495798319327,0.4805491990846682,0.306375358095266,0.49933598937583,0.12842163500059145,437,753,5.899245,19.675339,25.574583,0,0,0,0,0,0,0,0,0
60,0.48739495798319327,0.22170253435887963,0.14849628226199382,0.4946380853845286,0.48739495798319327,0.5659794412888937,0.48739495798319327,0.4853932584269663,0.333841006222959,0.4885906040268456,0.12400056866638273,445,745,5.8878555,15.962387,21.850243,0,0,0,0,0,0,0,0,0
61,0.4907563025210084,0.23189792220510896,0.15681190618634755,0.4974207905800808,0.4907563025210084,0.5672455854702769,0.4907563025210084,0.4786516853932584,0.31962113775001266,0.49798657718120803,0.14370676080618258,445,745,5.9001117,19.38428,25.284391,0,0,0,0,0,0,0,0,0
62,0.49747899159663866,0.2358365168412885,0.16237743481951403,0.5032777111702658,0.49747899159663866,0.572276684873318,0.49747899159663866,0.47671840354767187,0.3006212094048169,0.510148849797023,0.15482992589297986,451,739,5.8936286,16.299816,22.193445,0,0,0,0,0,0,0,0,0
63,0.4890756302521008,0.22745416350268008,0.15254799283545706,0.4956528874860774,0.4890756302521008,0.5693781473179476,0.4890756302521008,0.4811529933481153,0.29390353794342666,0.4939106901217862,0.13988523862030475,451,739,5.895721,20.478765,26.374487,0,0,0,0,0,0,0,0,0
64,0.4865546218487395,0.22339950248832502,0.15136149189496856,0.49217509279976246,0.4865546218487395,0.5628109479173309,0.4865546218487395,0.4722838137472284,0.29479273309060167,0.4952638700947226,0.13706621428581872,451,739,5.8955355,19.996813,25.89235,0,0,0,0,0,0,0,0,0
